page,id,title,cc,download_times,like,is_download,size(MB),path,nerf_data_path
1270,27098,Clanking Replicator Digestive Tract,CC-BY,34,3,no,no,no,no
1270,27097,Low Poly Cartoony Car,CC-BY,176,3,no,no,no,no
1270,27096,Modern Table set,CC-0,1851,51,no,no,no,no
1270,27095,Pumpkin,CC-0,35,4,no,no,no,no
1270,27093,bookcase,CC-BY-SA,67,5,no,no,no,no
1270,27092,Easy comic street pack,CC-0,423,36,no,no,no,no
1270,27090,Rigged/Dynamic Hair for Anxiety,CC-BY,454,11,no,no,no,no
1270,27087,Nixie Clock,CC-0,328,34,no,no,no,no
1270,27086,Thonet '209' Chair,CC-BY,371,13,no,no,no,no
1270,27085,Water Fountain Sculpture,CC-BY,360,13,no,no,no,no
1270,27082,New Series Dalek,CC-BY,194,11,no,no,no,no
1270,27081,Drinking glass,CC-0,290,4,no,no,no,no
1269,27080,Wooden beam lamp,CC-0,948,33,no,no,no,no
1269,27079,Red Nike Shoes,CC-0,1039,42,no,no,no,no
1269,27077,Blender 3D Phonebooth Stylized,CC-0,1171,42,no,no,no,no
1269,27076,Adirondack Chair,CC-BY-NC,231,6,no,no,no,no
1269,27075,Isometric Low Poly Deluxe Bedroom,CC-BY,287,7,no,no,no,no
1269,27073,hangar animation,CC-BY,744,30,no,no,no,no
1269,27072,Mjölnir,CC-BY,345,18,no,no,no,no
1269,27071,Coolio,CC-BY-NC-SA,758,21,no,no,no,no
1269,27070,Alien headcase,CC-BY-NC-ND,40,1,no,no,no,no
1269,27069,CRT TV,CC-BY,229,6,no,no,no,no
1269,27068,Lewis Gun,CC-0,166,12,no,no,no,no
1269,27065,Dewoitine D.551,CC-BY-NC,23,2,no,no,no,no
1269,27064,Mech,CC-BY,115,9,no,no,no,no
1269,27063,Technics SL1210MK2 Turntable,CC-0,385,24,no,no,no,no
1269,27060,Fokker F27,CC-BY,65,2,no,no,no,no
1269,27059,WWII Japanese pilot,CC-0,523,37,no,no,no,no
1269,27058,Oscilloscope (Generic),CC-0,1107,86,no,no,no,no
1269,27057,Medieval House,CC-BY-NC,179,5,no,no,no,no
1268,27055,Razor Crest,CC-BY,1070,53,no,no,no,no
1268,27038,Forest Scene - With Grass,CC-BY,644,3,no,no,no,no
1268,27036,Dalek 'Defence Drone',CC-BY,196,9,no,no,no,no
1268,27035,[Wild Rift] Blitzcrank Rig,CC-BY-NC-SA,1067,31,no,no,no,no
1268,27034,PUBG CHARACTER,CC-BY,427,9,no,no,no,no
1268,27030,a sci fi LMG,CC-BY,36,3,no,no,no,no
1268,27027,water,CC-0,1674,56,no,no,no,no
1268,27026,Legs Rigged,CC-BY,675,37,no,no,no,no
1268,27025,Tropical Fish - Blueface Angelfish,CC-0,705,29,no,no,no,no
1268,27024,New Model Army Remington-Beals Navy Revolver,CC-BY,123,13,no,no,no,no
1268,27023,Old Tv,CC-0,1537,52,no,no,no,no
1268,27021,Sugar bowl,CC-BY,105,7,no,no,no,no
1268,27020,Hand holding Muffin,CC-BY,148,0,no,no,no,no
1268,27019,Rancor,CC-BY,135,11,no,no,no,no
1268,27017,"15 Free sci - fi cuttors , inserts and buttons pack kit-ops ready",CC-BY,264,12,no,no,no,no
1268,27016,Lantern,CC-0,238,11,no,no,no,no
1268,27015,Spike Dragon Egg,CC-BY,57,4,no,no,no,no
1268,27013,Safe - A Cartoonish Game Asset,CC-BY,47,2,no,no,no,no
1267,27012,Braided Rug,CC-0,149,6,no,no,no,no
1267,27009,Wooden Mask,CC-BY,249,9,no,no,no,no
1267,27007,Winter cabin,CC-BY,101,5,no,no,no,no
1267,27006,Glock 17 Handgun - Now with updated textures,CC-BY,578,11,no,no,no,no
1267,27004,Nord-Aviation N262 Fregate,CC-BY,57,1,no,no,no,no
1267,27000,Aston Martin DB5,CC-BY,600,35,no,no,no,no
1267,26998,Retrofuturistic City Animation Scene,CC-BY,667,29,no,no,no,no
1267,26994,"Piper PA-32 ""Saratoga""",CC-BY,90,3,no,no,no,no
1267,26990,Stylized Sci-Fi Skyscrapers and Towers - Day + Night mode!,CC-BY,1287,45,no,no,no,no
1267,26985,Digital Clock (shader controlled and animated),CC-0,635,38,no,no,no,no
1267,26982,Acoustic Guitar,CC-BY,770,24,no,no,no,no
1267,26980,Refrigrator,CC-BY,223,9,no,no,no,no
1267,26979,Better Than Nothing Basic Trim Panels (texture only),CC-BY,225,20,no,no,no,no
1267,26978,Traditional Chinese Lantern,CC-0,160,9,no,no,no,no
1267,26977,Timber Frame Barn House,CC-BY,1166,29,no,no,no,no
1267,26974,Streetlight,CC-BY,206,9,no,no,no,no
1267,26973,Bas Relief Fountain,CC-BY-NC,174,7,no,no,no,no
1267,26972,Construction Yard,CC-BY,40,4,no,no,no,no
1266,26970,Low Poly Stork / Crane on grass hill,CC-0,1904,50,no,no,no,no
1266,26969,Smoke with planes,CC-BY,386,8,no,no,no,no
1266,26967,Tardis Console - Baker Era,CC-BY,140,10,no,no,no,no
1266,26964,Battle Axe (torch included),CC-BY,220,3,no,no,no,no
1266,26963,Sifi Station in Mountain Concept Scene,CC-BY,249,11,no,no,no,no
1266,26961,Perfume,CC-BY,211,10,no,no,no,no
1266,26955,Soft body jelly animation,CC-BY,135,5,no,no,no,no
1266,26954,Bulls,CC-BY,331,24,no,no,no,no
1266,26953,Armoire Louis XV,CC-BY,432,27,no,no,no,no
1266,26952,Analog Clock Shader (Animated),CC-0,288,12,no,no,no,no
1266,26951,Portable Radar (Animated),CC-0,362,27,no,no,no,no
1266,26950,Robot from Heavy Metal- Rigged,CC-BY,46,3,no,no,no,no
1266,26949,Castle Tower,CC-BY,578,33,no,no,no,no
1266,26948,Real-time dynamic sword tail,CC-BY,1155,34,no,no,no,no
1266,26947,Retro UFO Retrofuturism Vehicle LowPoly Car,CC-BY,43,4,no,no,no,no
1266,26945,Magician's Hat by Ashcreations,CC-BY,168,4,no,no,no,no
1266,26944,Nami but Yordle - LoL [V.1],CC-BY,85,7,no,no,no,no
1266,26943,"Iraqi Money 25,000 Dinars",CC-BY-NC,368,17,no,no,no,no
1265,26941,Full Body Practice Rig for Blender,CC-BY,2179,43,no,no,no,no
1265,26940,Borage Flower,CC-BY,530,15,no,no,no,no
1265,26938,1950's F100 Pickup Truck,CC-BY,255,9,no,no,no,no
1265,26937,Isometric Low Poly Bedroom,CC-BY,244,7,no,no,no,no
1265,26935,Bookshelf Stereo (generic),CC-0,458,29,no,no,no,no
1265,26934,Combat Knife,CC-0,541,25,no,no,no,no
1265,26933,Old Bicycle,CC-0,976,60,no,no,no,no
1265,26931,Coffee 100% Procedural,CC-BY,164,8,no,no,no,no
1265,26930,BAKERLUX SPEED.Pro™,CC-BY-NC,69,3,no,no,no,no
1265,26928,Bantha bag,CC-BY,115,11,no,no,no,no
1265,26927,Dodge Challenger HellCat - Rigged,CC-BY,345,14,no,no,no,no
1265,26926,Traffic lights,CC-BY,206,6,no,no,no,no
1265,26925,Tusken raider desert,CC-BY,2311,51,no,no,no,no
1265,26924,Tusken raider,CC-BY,263,18,no,no,no,no
1265,26922,Blazer Torch,CC-0,78,7,no,no,no,no
1265,26915,Male human with separated anatomical systems,CC-BY-SA,6675,224,no,no,no,no
1265,26914,Elac CL82i Hifi Speaker (German),CC-BY,125,7,no,no,no,no
1265,26913,City Train,CC-0,531,22,no,no,no,no
1264,26912,APPA Rig V1,CC-BY,385,18,no,no,no,no
1264,26911,gun,CC-BY,86,7,no,no,no,no
1264,26909,Rigging Arm,CC-0,503,35,no,no,no,no
1264,26908,Rigging Pistons,CC-0,906,62,no,no,no,no
1264,26906,El Guapo,CC-BY,117,2,no,no,no,no
1264,26905,Low Poly BackPack,CC-0,324,14,no,no,no,no
1264,26902,tree trunk and grass - 3d scan,CC-0,715,21,no,no,no,no
1264,26897,GPU - Rendering samples test,CC-BY,106,5,no,no,no,no
1264,26895,Rubix toys,CC-0,267,5,no,no,no,no
1264,26893,Simple Keyboard (Low Poly),CC-0,682,29,no,no,no,no
1264,26889,Minecraft Oak Tree,CC-BY,258,2,no,no,no,no
1264,26888,Worn out Wood Texture,CC-0,113,4,no,no,no,no
1264,26887,Stylized pickaxe,CC-0,141,14,no,no,no,no
1264,26886,Stylized hammer,CC-0,173,15,no,no,no,no
1264,26885,Stylized axe,CC-0,183,14,no,no,no,no
