page,id,title,cc,download_times,like,is_download,size(MB),path,nerf_data_path
1096,21826,IPhone charger,CC-BY,92,5,yes,0.1850566864013672,E:/data/21826.blend,no
1096,21825,Awesome - Theme for Blender 2.8,CC-0,9357,3,no,no,no,no
1096,21823,makeup,CC-BY,96,4,yes,1.1260042190551758,E:/data/21823.blend,no
1096,21822,coordinate-axes,CC-0,64,1,yes,0.15734386444091797,E:/data/21822.blend,no
1096,21821,Daryl's Bike,CC-BY,160,3,yes,1.0388307571411133,E:/data/21821.blend,no
1096,21820,ubuntu flag,CC-BY,27,0,yes,0.3888416290283203,E:/data/21820.blend,no
1096,21819,Hourglass Clockwork Animation,CC-BY-SA,186,2,yes,8.085223197937012,E:/data/21819.blend,no
1096,21818,Pull Down Sprayer Kitchen Faucet,CC-BY,1783,38,yes,2.417059898376465,E:/data/21818.blend,no
1096,21817,steven universe crystal gems- gems,CC-BY,55,2,yes,0.21610450744628906,E:/data/21817.blend,no
1096,21816,Baptismal font,CC-BY-NC,140,4,yes,46.85411739349365,E:/data/21816.blend,no
1096,21815,Stick Man Rig,CC-BY,280,1,yes,0.19456005096435547,E:/data/21815.blend,no
1096,21814,sci fi AR,CC-0,244,7,yes,23.28507423400879,E:/data/21814.blend,no
1096,21813,sci fi fps arms,CC-0,690,12,yes,10.522793769836426,E:/data/21813.blend,no
1096,21812,Torii,CC-0,208,6,yes,0.6013174057006836,E:/data/21812.blend,no
1096,21811,G WAGEN,CC-BY,225,12,yes,1.022425651550293,E:/data/21811.blend,no
1095,21810,Clothes Hamper,CC-BY,199,15,yes,0.17090702056884766,E:/data/21810.blend,no
1095,21809,Skull,CC-0,2291,29,yes,5.806756019592285,E:/data/21809.blend,no
1095,21806,SG Gothic Morte Custom,CC-0,178,12,yes,14.885812759399414,E:/data/21806.blend,no
1095,21805,bear,CC-BY,145,1,yes,6.402573585510254,E:/data/21805.blend,no
1095,21803,Peeling effect,CC-BY,472,11,yes,9.939671516418457,E:/data/21803.blend,no
1095,21804,Pirate Room,CC-BY,133,4,yes,11.566922187805176,E:/data/21804.blend,no
1095,21802,gade mascara,CC-BY,261,8,yes,3.056417465209961,E:/data/21802.blend,no
1095,21801,Salt and Pepper Shaker,CC-BY,72,3,yes,0.34992408752441406,E:/data/21801.blend,no
1095,21630,Winchester Model 1897 Pump-action Shotgun,CC-BY-SA,71,4,yes,0.4111509323120117,E:/data/21630.blend,no
1095,21800,Slime RIG,CC-BY,272,4,yes,0.11629390716552734,E:/data/21800.blend,no
1095,21798,Aki my little girl,CC-BY-NC,735,22,yes,2.53670597076416,E:/data/21798.blend,no
1095,21797,Python scripted wormhole,CC-0,184,4,yes,1.6727409362792969,E:/data/21797.blend,no
1095,21796,Red Wolf Bar Sign,CC-BY,59,2,yes,1.5525188446044922,E:/data/21796.blend,no
1095,21795,Poulsbo Cafe Light,CC-BY,74,2,yes,2.2810373306274414,E:/data/21795.blend,no
1095,21794,Lipstick,CC-BY,225,7,yes,17.414640426635742,E:/data/21794.blend,no
1095,21793,Mateo,CC-BY,2289,62,yes,19.153891563415527,E:/data/21793.blend,no
1095,21792,Mignon,CC-BY-NC,1372,17,yes,23.669416427612305,E:/data/21792.blend,no
1095,21791,Sphere Bot High Poly Version,CC-BY-NC,124,6,yes,2.741262435913086,E:/data/21791.blend,no
1094,21790,Ruche Dadant,CC-BY,143,4,yes,8.049968719482422,E:/data/21790.blend,no
1094,21607,Filling circles in circle using AnimationNodes,CC-BY,76,2,yes,0.2333049774169922,E:/data/21607.blend,no
1094,21789,USS Orville,CC-BY,378,17,yes,22.698171615600586,E:/data/21789.blend,no
1094,21310,Sewing Basket Without Materials :),CC-0,96,12,yes,0.7904977798461914,E:/data/21310.blend,no
1094,21788,Vitro shader 1.6,CC-0,1930,47,yes,0.2518606185913086,E:/data/21788.blend,no
1094,21787,Tranquility Base Hotel + Casino,CC-0,40,0,yes,0.10433101654052734,E:/data/21787.blend,no
1094,21786,dragon skin,CC-0,375,7,yes,31.238908767700195,E:/data/21786.blend,no
1094,21785,Untextured Stag,CC-0,208,5,yes,0.2931394577026367,E:/data/21785.blend,no
1094,21784,Medieval blacksmith remix,CC-BY,288,9,yes,5.331760406494141,E:/data/21784.blend,no
1094,21783,Dr. Kahl's Robot - Harder Version,CC-BY-NC,22,1,yes,0.367279052734375,E:/data/21783.blend,no
1094,21782,Low-Poly Pizza,CC-0,145,2,yes,0.39204978942871094,E:/data/21782.blend,no
1094,21781,Set of clothes,CC-BY,3392,60,yes,2.892200469970703,E:/data/21781.blend,no
1094,21780,Agent 47 / Hitman | Fully Rigged and textured,CC-BY-NC,1664,23,yes,48.8306303024292,E:/data/21780.blend,no
1094,21779,white closet,CC-BY,631,19,yes,9.366347312927246,E:/data/21779.blend,no
1094,21778,Brabham BT44 Low Poly,CC-BY,139,7,yes,6.391432762145996,E:/data/21778.blend,no
1094,21777,Basic Grey Theme,CC-0,120,2,yes,0.005904197692871094,E:/data/21777.blend,no
1094,21776,Family House Collection,CC-0,3491,107,yes,7.322521209716797,E:/data/21776.blend,no
1094,21775,Shure SM57,CC-BY,133,4,yes,15.881305694580078,E:/data/21775.blend,no
1093,21774,MC.SlotMachine,CC-BY,34,1,yes,0.6020040512084961,E:/data/21774.blend,no
1093,21773,British Gaming Icon Horace,CC-BY,26,0,yes,0.6119279861450195,E:/data/21773.blend,no
1093,21772,Lowpoly axe,CC-0,48,2,yes,1.5280647277832031,E:/data/21772.blend,no
1093,21771,Citroen C4 1930 - Pompier,CC-BY,107,5,yes,7.8485918045043945,E:/data/21771.blend,no
1093,21770,Sphere-Bot,CC-BY-NC-SA,362,16,yes,26.031628608703613,E:/data/21770.blend,no
1093,21769,Table Louis XIV,CC-BY-NC,191,9,yes,22.841139793395996,E:/data/21769.blend,no
1093,21767,Chess Set,CC-0,135,5,no,no,no,no
1093,21766,Park Chair,CC-BY,190,4,no,no,no,no
1093,21765,Chairs,CC-BY,1044,34,no,no,no,no
1093,21764,XSI Softimage theme V2,CC-BY,230,4,no,no,no,no
1093,21763,Sword game model,CC-BY,235,8,no,no,no,no
1093,21761,Super Sonic,CC-BY,79,2,no,no,no,no
1093,21760,Simple Bicycle,CC-0,1485,26,no,no,no,no
1093,21759,Low Poly Museum,CC-BY,109,1,no,no,no,no
1093,21758,Flash Drive,CC-BY,80,2,no,no,no,no
1093,21757,XSI Softimage theme,CC-BY,147,2,no,no,no,no
1093,21756,Old bike,CC-BY,36,0,no,no,no,no
1093,21755,Infinite Beer Mug From The Future,CC-BY-NC,154,5,no,no,no,no
1092,21754,Suzanne with body,CC-BY,115,4,no,no,no,no
1092,21752,Five Color Iris Textures for Eyes,CC-0,1273,13,no,no,no,no
1092,15903,Nuclear Explosion,CC-0,999,13,no,no,no,no
1092,21749,Bouncing Ball Rig,CC-0,442,2,no,no,no,no
1092,21748,4th July,CC-BY,72,1,no,no,no,no
1092,21747,low poly leaded Window,CC-0,163,11,no,no,no,no
1092,21737,Deer statue Low-Poly,CC-BY-NC,88,2,no,no,no,no
1092,21746,Rock Sculpt Brushes,CC-BY,6346,63,no,no,no,no
1092,21745,Baby Time Christmas,CC-BY,60,2,no,no,no,no
1092,21744,Futuristic Police Drone,CC-BY,149,0,no,no,no,no
1092,21743,Beaucarnea.recurvata,CC-0,157,8,no,no,no,no
1092,21742,SpaceX Falcon Heavy (Textured 3D Model),CC-BY-SA,664,7,no,no,no,no
1092,21741,Santa Claus,CC-BY,110,1,no,no,no,no
1092,21740,Clunk in 3D,CC-BY,51,2,no,no,no,no
1092,21739,Remote for RGB Light Strip,CC-0,118,3,no,no,no,no
1092,21738,Eric avatar,CC-BY-NC-SA,53,3,no,no,no,no
1092,21736,Filtering Drum,CC-BY,47,0,no,no,no,no
1092,21735,DupliFace Rivets Ex,CC-BY,23,0,no,no,no,no
1091,21734,VASE MIXER,CC-0,475,19,no,no,no,no
1091,21733,Low Poly Tree,CC-BY-NC,290,7,no,no,no,no
1091,21732,Low Poly Character Base Mesh,CC-BY-NC,246,3,no,no,no,no
1091,21731,MLP OC,CC-BY,45,3,no,no,no,no
1091,21730,Lipsinc Tutorial Character,CC-BY,206,1,no,no,no,no
1091,21729,Bomberman,CC-0,480,17,no,no,no,no
1091,21728,Boiler System,CC-BY,187,3,no,no,no,no
1091,21727,Kitty Chibi!,CC-BY,55,1,no,no,no,no
1091,21726,Alliance Symbol,CC-BY-NC,52,2,no,no,no,no
1091,21725,Toaster,CC-0,876,40,no,no,no,no
1091,21724,The assault on Olympus by the titans,CC-BY-NC,146,5,no,no,no,no
1091,21723,juicer,CC-0,224,12,no,no,no,no
1091,21722,Hot Air Balloon,CC-0,140,5,no,no,no,no
1091,21721,Chiller Plant,CC-BY,252,7,no,no,no,no
1091,21720,Chiller Pipes,CC-BY,245,5,no,no,no,no
1091,21719,Tired tire,CC-BY,283,10,no,no,no,no
1091,21716,Low Poly Combat Knife,CC-BY,776,11,no,no,no,no
1091,21717,Low-Poly Glock,CC-0,50,1,no,no,no,no
1090,21715,Hamburgers LowPoly,CC-0,178,13,no,no,no,no
1090,21714,Axis momevent bge,CC-BY,105,4,no,no,no,no
1090,21713,Star Wars: Gozanti-Class Cruiser,CC-0,352,14,no,no,no,no
1090,21712,Robot Assistant,CC-0,90,0,no,no,no,no
1090,21711,Retro T.V.,CC-0,89,2,no,no,no,no
1090,21710,LulzKev YouTube Intro,CC-BY,64,0,no,no,no,no
1090,21709,Honda Goldwing GL1000,CC-BY,122,0,no,no,no,no
1090,21708,scale,CC-0,167,3,no,no,no,no
1090,21707,Furniture Set,CC-BY,276,9,no,no,no,no
1090,21706,Earth and the sun,CC-BY,109,4,no,no,no,no
1090,21705,Dead birds group pack,CC-BY,138,6,no,no,no,no
1090,21704,Bust of a rhetorician,CC-BY-NC,1611,14,no,no,no,no
1090,21703,Iron Man helmet,CC-BY,82,0,no,no,no,no
1090,21702,A Masked Warrior,CC-0,157,6,no,no,no,no
